INFO:root:calibrating voice
INFO:calibrating voice
2022-05-18 07:06:27,773:INFO:calibrating voice
INFO:2022-05-18 07:07:52,113:root: calibrating voice
INFO:2022-05-18 07:19:15,044:root: Calibrating voice
INFO:2022-05-18 07:19:15,885:root: Voice calibrated
INFO:2022-05-18 07:19:24,543:root: Requesting callback
INFO:2022-05-18 07:23:51,012:root: Calibrating voice
INFO:2022-05-18 07:23:51,739:root: Voice calibrated
INFO:2022-05-18 07:24:00,394:root: Requesting callback
INFO:2022-05-18 07:24:51,690:root: Calibrating voice
INFO:2022-05-18 07:24:52,547:root: Voice calibrated
INFO:2022-05-18 07:25:04,991:root: Requesting callback
INFO:2022-05-18 07:25:09,356:root: Requesting callback
INFO:2022-05-18 07:29:22,698:root: Calibrating voice
INFO:2022-05-18 07:29:23,267:root: Voice calibrated
INFO:2022-05-18 07:29:28,438:root: Requesting callback
INFO:2022-05-18 07:29:35,430:root: Requesting callback
INFO:2022-05-18 07:29:42,444:root: Requesting callback
INFO:2022-05-18 07:29:51,129:root: Requesting callback
INFO:2022-05-18 07:30:02,088:root: Requesting callback
INFO:2022-05-18 07:30:12,371:root: Requesting callback
INFO:2022-05-18 07:31:16,306:root: Calibrating voice
INFO:2022-05-18 07:31:17,576:root: Voice calibrated
INFO:2022-05-18 07:31:27,228:root: Requesting callback
INFO:2022-05-18 07:31:32,011:root: Requesting callback
INFO:2022-05-18 07:38:13,522:root: Calibrating voice
INFO:2022-05-18 07:38:14,514:root: Voice calibrated
INFO:2022-05-18 07:38:22,425:root: Requesting callback
INFO:2022-05-18 07:38:26,327:root: Requesting callback
INFO:2022-05-18 07:38:33,571:root: Requesting callback
INFO:2022-05-18 07:42:24,838:root: Calibrating voice
INFO:2022-05-18 07:42:25,950:root: Voice calibrated
INFO:2022-05-18 07:42:40,473:root: Requesting callback
INFO:2022-05-18 07:42:58,405:root: Requesting callback
INFO:2022-05-18 07:43:12,808:root: Requesting callback
INFO:2022-05-18 07:43:28,780:root: Requesting callback
INFO:2022-05-18 07:43:52,120:root: Requesting callback
INFO:2022-05-18 07:44:02,457:root: Requesting callback
INFO:2022-05-18 07:44:11,049:root: Requesting callback
INFO:2022-05-18 07:44:16,550:root: Requesting callback
INFO:2022-05-18 07:44:20,588:root: Requesting callback
INFO:2022-05-18 07:44:45,322:root: Requesting callback
INFO:2022-05-18 07:44:59,927:root: Requesting callback
INFO:2022-05-18 07:55:09,762:root: Calibrating voice
INFO:2022-05-18 07:55:10,784:root: Voice calibrated
INFO:2022-05-18 07:55:19,041:root: Requesting callback
INFO:2022-05-18 07:55:20,553:root: command:mi max
INFO:2022-05-18 07:55:20,553:root: Executing command
INFO:2022-05-18 07:55:20,647:root: Getting response
INFO:2022-05-18 07:55:39,494:root: Requesting callback
INFO:2022-05-18 07:55:43,865:root: command:can you hear me
INFO:2022-05-18 07:55:43,866:root: Executing command
INFO:2022-05-18 07:55:43,893:root: Getting response
INFO:2022-05-18 07:57:51,499:root: Calibrating voice
INFO:2022-05-18 07:58:05,055:root: Calibrating voice
INFO:2022-05-18 07:58:06,102:root: Voice calibrated
INFO:2022-05-18 07:58:17,236:root: Requesting callback
INFO:2022-05-18 07:58:19,934:root: command:haider
INFO:2022-05-18 07:58:19,934:root: Executing command
INFO:2022-05-18 07:58:20,005:root: Getting response
INFO:2022-05-18 07:58:21,921:root: Requesting callback
INFO:2022-05-18 07:58:22,455:root: command:hi manish
INFO:2022-05-18 07:58:23,010:root: Executing command
INFO:2022-05-18 07:58:23,049:root: Getting response
INFO:2022-05-18 07:58:35,067:root: Requesting callback
INFO:2022-05-18 07:58:42,562:root: command:what's the time
INFO:2022-05-18 07:58:42,563:root: Executing command
INFO:2022-05-18 07:58:48,596:root: Getting response
INFO:2022-05-18 07:59:00,659:root: Requesting callback
INFO:2022-05-18 07:59:10,818:root: command:time is 58 minutes
INFO:2022-05-18 07:59:10,819:root: Executing command
INFO:2022-05-18 07:59:50,223:root: Calibrating voice
INFO:2022-05-18 07:59:50,896:root: Voice calibrated
INFO:2022-05-18 07:59:59,368:root: Requesting callback
INFO:2022-05-18 08:00:00,872:root: command:whatsapp
INFO:2022-05-18 08:00:00,872:root: Executing command
INFO:2022-05-18 08:00:00,943:root: Getting response
INFO:2022-05-18 08:06:01,056:root: Calibrating voice
INFO:2022-05-18 08:06:02,397:root: Voice calibrated
INFO:2022-05-18 08:06:16,988:root: Requesting callback
INFO:2022-05-18 08:06:19,157:root: command:hi pack hello how are you doing
INFO:2022-05-18 08:06:19,157:root: Executing command
INFO:2022-05-18 08:06:19,239:root: Getting response
INFO:2022-05-18 08:06:27,719:root: Requesting callback
INFO:2022-05-18 08:07:12,566:root: Calibrating voice
INFO:2022-05-18 08:07:13,244:root: Voice calibrated
INFO:2022-05-18 08:07:26,187:root: Requesting callback
INFO:2022-05-18 08:07:27,497:root: command:hi mac
INFO:2022-05-18 08:07:27,549:root: Executing command
INFO:2022-05-18 08:07:27,647:root: Getting response
INFO:2022-05-18 08:07:39,746:root: Requesting callback
INFO:2022-05-18 08:07:41,811:root: command:are you slow
INFO:2022-05-18 08:07:41,890:root: Executing command
INFO:2022-05-18 08:07:41,931:root: Getting response
INFO:2022-05-18 08:08:02,690:root: Requesting callback
INFO:2022-05-18 08:08:06,174:root: command:why do you take so much of time to understand and listen
INFO:2022-05-18 08:08:06,188:root: Executing command
INFO:2022-05-18 08:08:09,233:root: Getting response
INFO:2022-05-18 08:08:09,515:root: Requesting callback
INFO:2022-05-18 08:08:10,287:root: command:music minutes
INFO:2022-05-18 08:08:10,362:root: Executing command
INFO:2022-05-18 08:08:10,402:root: Getting response
INFO:2022-05-18 08:08:13,210:root: Requesting callback
INFO:2022-05-18 08:08:17,390:root: Requesting callback
INFO:2022-05-18 08:08:22,168:root: Requesting callback
INFO:2022-05-18 08:08:23,165:root: command:ok bye
INFO:2022-05-18 08:08:23,198:root: Executing command
INFO:2022-05-18 08:11:58,407:root: Calibrating voice
INFO:2022-05-18 08:11:59,231:root: Voice calibrated
INFO:2022-05-18 08:12:08,003:root: Requesting callback
INFO:2022-05-18 08:12:08,443:root: command:what's up assistant
INFO:2022-05-18 08:12:08,485:root: Executing command
INFO:2022-05-18 08:12:08,580:root: Getting response
INFO:2022-05-18 16:21:35,953:root: Calibrating voice
INFO:2022-05-18 16:21:37,425:root: Voice calibrated
INFO:2022-05-18 16:21:46,381:root: Requesting callback
INFO:2022-05-18 16:21:47,070:root: command:haider
INFO:2022-05-18 16:21:47,501:root: Executing command
INFO:2022-05-18 16:21:49,311:root: Requesting callback
INFO:2022-05-18 16:21:50,227:root: command:good boy
INFO:2022-05-18 16:22:11,375:root: Calibrating voice
INFO:2022-05-18 16:22:12,623:root: Voice calibrated
INFO:2022-05-18 16:23:14,617:root: Calibrating voice
INFO:2022-05-18 16:23:15,694:root: Voice calibrated
INFO:2022-05-18 16:23:28,111:root: Requesting callback
INFO:2022-05-18 16:23:30,363:root: command:hay
INFO:2022-05-18 16:23:30,783:root: Executing command
INFO:2022-05-18 16:23:30,882:root: Getting response
INFO:2022-05-18 16:24:01,637:root: Requesting callback
INFO:2022-05-18 16:24:04,265:root: command:tell me a joke
INFO:2022-05-18 16:24:05,006:root: Executing command
INFO:2022-05-18 16:24:08,812:root: Requesting callback
INFO:2022-05-18 16:24:10,774:root: command:news from i don't want to read write
INFO:2022-05-18 16:24:11,054:root: Getting response
INFO:2022-05-18 16:24:12,058:root: Executing command
INFO:2022-05-18 16:24:12,098:root: Getting response
INFO:2022-05-18 16:24:29,208:root: Requesting callback
INFO:2022-05-18 16:24:32,275:root: Requesting callback
INFO:2022-05-18 22:51:28,173:root: Calibrating voice
INFO:2022-05-18 22:51:29,108:root: Voice calibrated
INFO:2022-05-18 22:51:37,858:root: Requesting callback
INFO:2022-05-18 22:51:38,558:root: command:hi mac
INFO:2022-05-18 22:51:39,191:root: Executing command
INFO:2022-05-18 22:51:39,295:root: Getting response
INFO:2022-05-18 22:51:49,632:root: Requesting callback
INFO:2022-05-18 22:51:50,404:root: command:how is my day looking
INFO:2022-05-18 22:51:50,905:root: Executing command
INFO:2022-05-18 22:51:50,944:root: Getting response
INFO:2022-05-18 22:51:57,836:root: Requesting callback
